Hit#    X, mm   Y, mm   Z, mm
83	2.536	-10.598	-328.825
84	-5.694	6.682	-328.404
85	-18.489	-0.879	-331.155
86	2.913	-7.153	-328.229
87	14.084	13.151	-331.462
88	-5.393	4.366	-328.113
89	1.236	-13.757	-329.563
90	3.406	-17.097	-330.744
91	-12.134	8.122	-329.795
92	-3.864	-9.491	-328.686
93	0.569	14.417	-329.743
94	4.682	-3.776	-327.994
95	12.958	16.824	-332.325
96	9.740	-0.031	-328.583
97	17.117	-2.558	-330.698
98	-17.378	-4.864	-330.975
99	-12.239	4.084	-329.313
100	-8.222	-2.684	-328.381
101	0.534	8.984	-328.443
102	15.863	8.011	-330.870
103	10.153	13.377	-330.513
104	-21.440	3.265	-332.538
105	-11.484	19.779	-333.121
106	-11.735	3.985	-329.181
107	-13.866	-3.304	-329.691
108	8.983	-4.644	-328.658
109	8.768	20.032	-332.624
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-0.729	19.176	-331.429
1	-4.910	-14.389	-329.981
2	-1.391	-15.879	-330.220
3	-2.107	14.895	-329.931
4	-2.636	5.615	-328.016
5	4.922	11.218	-329.145
6	-11.199	-3.485	-329.017
7	11.934	18.759	-332.802
8	2.770	-6.812	-328.173
9	-1.507	15.352	-330.052
10	-10.952	-11.407	-330.178
11	18.041	-6.856	-331.475
12	-4.753	-15.238	-330.228
13	9.224	15.873	-331.096
14	6.773	-10.854	-329.284
15	-12.729	3.991	-329.431
16	-11.030	6.217	-329.250
17	14.217	-2.444	-329.742
18	10.384	1.455	-328.736
19	16.662	-9.526	-331.431
20	3.840	14.989	-330.067
21	12.282	-9.149	-330.017
22	-5.794	-5.069	-328.225
23	1.758	12.626	-329.272
24	-8.740	13.305	-330.214
25	-12.960	5.931	-329.691
26	20.039	10.125	-332.910
27	-12.263	6.756	-329.617
28	-9.654	-8.203	-329.251
29	15.666	-10.833	-331.371
30	16.210	11.574	-331.736
31	-18.949	3.411	-331.456
32	-13.275	1.940	-329.452
33	-4.619	21.636	-332.748
34	-4.322	8.664	-328.572
35	-5.515	-7.308	-328.472
36	-4.214	3.004	-327.900
37	10.367	-1.788	-328.744
38	-4.062	16.758	-330.675
39	0.332	-22.779	-333.076
40	-4.093	-1.534	-327.823
41	12.863	-3.238	-329.410
42	2.749	-8.922	-328.506
43	13.296	-1.185	-329.433
44	-10.182	13.530	-330.563
45	-17.849	8.604	-331.692
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	2.621	18.444	-331.203
1	6.625	12.122	-329.564
2	-16.871	-9.266	-331.454
3	-10.137	-1.613	-328.690
4	-6.620	9.947	-329.070
5	2.219	-7.243	-328.206
6	12.099	-2.784	-329.186
7	-14.890	-8.053	-330.561
8	-11.100	9.858	-329.869
9	7.199	-13.985	-330.151
10	6.447	-2.671	-328.119
11	-2.885	-13.493	-329.559
12	-15.266	-3.038	-330.097
13	4.340	-15.789	-330.367
14	10.746	-9.107	-329.642
15	-8.392	4.823	-328.572
16	2.354	-13.766	-329.607
17	0.636	8.478	-328.356
18	2.872	-10.561	-328.836
19	8.848	9.834	-329.400
20	-1.625	10.800	-328.831
21	4.855	3.362	-327.980
22	5.574	-14.365	-330.046
23	-10.561	1.798	-328.785
24	-10.858	-8.182	-329.502
25	9.119	7.354	-329.014
26	-0.830	-9.600	-328.563
27	17.131	0.624	-330.638
28	12.581	-5.434	-329.532
29	-12.180	0.959	-329.137
30	16.473	15.472	-332.984
31	-17.295	3.852	-330.851
32	15.976	8.298	-330.958
33	1.642	5.183	-327.927
34	9.417	-1.822	-328.554
35	2.551	-6.751	-328.153
36	-5.597	-8.985	-328.758
37	-6.991	-7.941	-328.756
38	-4.596	-18.936	-331.552
39	-12.197	-16.136	-331.870
40	1.308	1.700	-327.679
41	15.060	-0.505	-329.939
42	-2.461	-3.796	-327.837
43	8.140	-13.492	-330.160
44	13.922	-15.780	-332.237
45	-8.877	3.043	-328.515
46	19.773	-4.857	-331.929
47	-6.396	16.273	-330.763
48	8.683	18.107	-331.807
49	2.019	16.790	-330.555
50	-0.597	22.278	-332.828
51	-14.043	-13.424	-331.528
52	2.527	-3.341	-327.808
53	4.361	-0.210	-327.823
54	8.914	17.616	-331.661
55	7.910	-1.825	-328.291
56	17.023	-1.963	-330.636
57	-2.479	-17.358	-330.782
58	8.281	5.707	-328.647
59	13.738	-12.312	-331.131
60	-12.033	10.209	-330.168
61	-16.527	5.731	-330.766
62	-3.677	13.382	-329.582
63	-5.567	1.703	-327.971
64	-16.010	8.459	-330.999
65	6.727	6.981	-328.575
66	-7.890	-17.438	-331.409
67	-6.530	-1.134	-328.071
68	-17.217	10.109	-331.757
69	-12.289	-3.347	-329.269
70	11.639	-4.359	-329.190
71	11.017	2.428	-328.912
72	4.946	-2.405	-327.934
73	-0.982	1.146	-327.656
74	-2.873	13.702	-329.617
75	2.901	-18.060	-331.070
76	-4.389	15.176	-330.173
77	4.951	2.610	-327.945
78	3.172	-2.652	-327.803
79	21.118	0.495	-332.274
80	-7.904	-18.088	-331.660
81	-11.540	-12.945	-330.711
82	-17.285	-5.883	-331.057
83	-3.666	-3.447	-327.885
84	3.198	-8.866	-328.522
85	3.617	-3.965	-327.920
86	0.043	5.213	-327.904
87	-16.797	4.132	-330.695
88	-8.804	9.299	-329.287
89	-4.628	12.102	-329.327
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	3.460	2.402	-327.810
1	12.150	-10.717	-330.308
2	-6.416	-6.579	-328.478
3	6.068	-8.352	-328.702
4	-1.310	-2.758	-327.726
5	-16.206	11.315	-331.671
6	1.008	-10.419	-328.732
7	-1.208	12.758	-329.290
8	10.038	-11.653	-330.037
9	1.207	9.213	-328.497
10	-8.085	-14.224	-330.363
11	-1.560	-2.059	-327.700
12	-1.803	11.871	-329.085
13	0.934	-20.322	-331.922
14	-0.091	-7.676	-328.221
15	-5.647	6.526	-328.378
16	-6.557	-5.845	-328.405
17	-11.311	0.849	-328.926
18	-11.181	-4.650	-329.110
19	-5.120	6.128	-328.270
20	11.342	-6.879	-329.410
21	-16.050	1.868	-330.294
22	-5.115	17.467	-331.034
23	0.785	-12.876	-329.312
24	-2.902	19.321	-331.575
25	-5.048	-15.236	-330.257
26	3.643	-11.398	-329.074
27	-18.606	10.046	-332.283
28	16.425	-4.545	-330.602
29	5.861	-7.883	-328.600
30	10.209	15.828	-331.285
31	-19.714	-8.324	-332.402
32	1.429	1.586	-327.679
33	14.425	2.456	-329.804
34	-14.764	-14.465	-332.067
35	-7.232	-19.232	-332.012
36	2.825	-8.764	-328.482
37	-1.390	-13.093	-329.384
38	2.757	-0.936	-327.717
39	11.439	-8.069	-329.616
40	-4.607	-8.036	-328.492
41	-7.388	5.801	-328.516
42	1.228	-5.958	-328.002
43	-10.047	-10.034	-329.675
44	-0.885	-11.978	-329.085
45	-10.102	2.633	-328.726
46	5.314	-9.454	-328.814
47	17.841	1.155	-330.911
48	4.829	-4.694	-328.085
49	-1.160	-17.809	-330.899
50	2.412	2.456	-327.751
51	-17.889	4.294	-331.111
52	4.819	14.566	-330.025
53	1.626	-9.886	-328.639
54	8.193	0.883	-328.312
55	10.975	12.672	-330.503
56	-18.479	2.440	-331.207
57	13.813	-15.350	-332.058
58	-11.123	2.835	-328.958
59	3.950	-14.761	-330.006
60	-0.644	-12.644	-329.249
61	-16.186	2.921	-330.392
62	0.381	-12.554	-329.223
63	-14.780	-8.023	-330.522
64	8.598	2.515	-328.436
65	13.917	2.956	-329.683
66	4.874	-16.796	-330.765
67	-2.861	-13.631	-329.596
68	16.322	9.876	-331.384
69	10.008	2.891	-328.722
70	-2.091	19.206	-331.483
71	-4.860	2.207	-327.917
72	-8.044	-12.553	-329.889
73	0.132	-18.201	-331.035
74	17.404	-9.748	-331.749
75	17.428	13.085	-332.589
76	10.203	16.221	-331.418
77	-8.092	-2.690	-328.360
78	-8.627	10.754	-329.556
79	-18.104	-3.886	-331.158
80	8.968	-10.708	-329.607
81	0.632	-7.895	-328.260
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	16.532	-0.168	-330.422
1	18.311	-1.164	-331.092
2	1.817	-0.384	-327.668
3	6.705	-4.356	-328.272
4	12.293	-15.349	-331.628
5	-5.609	20.947	-332.537
6	-6.243	-11.740	-329.419
7	5.802	-9.803	-328.937
8	15.102	2.323	-330.005
9	-4.412	18.383	-331.313
10	-6.237	-9.378	-328.908
11	-18.212	6.175	-331.446
12	-12.394	10.340	-330.288
13	8.777	-12.919	-330.114
14	-11.132	-5.488	-329.185
15	-13.201	-2.215	-329.443
16	2.619	-8.859	-328.487
17	18.933	12.750	-333.099
18	8.623	14.971	-330.687
19	-16.791	-14.486	-332.774
20	7.178	2.460	-328.208
21	7.566	0.286	-328.205
22	-1.099	1.856	-327.679
23	-10.595	1.401	-328.779
24	11.808	1.653	-329.064
25	11.132	2.137	-328.925
26	1.205	1.638	-327.674
27	10.171	11.788	-330.098
28	8.301	12.037	-329.801
29	-0.275	-7.368	-328.175
30	5.045	18.789	-331.539
31	15.621	-8.408	-330.859
32	-20.787	-2.867	-332.209
33	-17.761	9.450	-331.823
34	4.318	-14.970	-330.102
35	-4.190	-13.082	-329.542
36	8.877	1.727	-328.451
37	-4.281	18.953	-331.529
38	-7.902	-2.198	-328.305
39	-4.765	-6.898	-328.335
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	15.021	-3.009	-330.018
1	3.068	-20.990	-332.315
2	3.616	-18.365	-331.238
3	-11.870	-5.016	-329.309
4	10.899	0.379	-328.827
5	8.443	-3.457	-328.466
6	1.334	1.676	-327.679
7	2.143	7.302	-328.211
8	8.730	-4.781	-328.626
9	15.867	-13.734	-332.210
10	-3.482	-12.925	-329.443
11	-0.910	-10.568	-328.762
12	-4.143	10.522	-328.918
13	13.067	10.061	-330.408
14	0.438	7.074	-328.134
15	4.296	-18.830	-331.481
16	14.739	-15.117	-332.269
17	-2.899	-9.882	-328.697
18	6.219	1.363	-328.037
19	12.577	-3.579	-329.359
20	-6.823	-2.665	-328.169
21	21.120	-6.367	-332.717
22	3.484	-8.126	-328.415
23	-20.635	5.964	-332.440
24	-1.032	1.310	-327.661
25	-4.464	-13.836	-329.776
26	9.274	-0.983	-328.504
27	3.834	6.591	-328.213
28	19.224	-0.858	-331.452
29	-15.139	-6.322	-330.378
30	9.435	1.234	-328.540
31	1.777	7.143	-328.174
32	-13.699	0.377	-329.532
33	-4.116	7.139	-328.312
34	8.608	-2.475	-328.436
35	4.409	7.862	-328.446
36	14.138	-3.900	-329.814
37	-2.004	-21.671	-332.574
38	21.131	-5.123	-332.565
39	22.032	-1.666	-332.734
40	15.073	-2.025	-329.983
41	0.473	-7.229	-328.157
42	5.092	13.307	-329.689
43	4.815	-15.549	-330.334
44	-5.515	0.881	-327.944
45	8.038	-4.829	-328.513
46	2.410	-6.676	-328.136
47	-2.764	14.433	-329.823
48	-4.286	4.447	-328.013
49	12.847	5.051	-329.560
50	7.657	-10.389	-329.314
51	-20.092	3.219	-331.923
52	0.861	-18.711	-331.243
53	6.069	-6.224	-328.389
54	3.350	-3.067	-327.838
55	-3.683	-1.477	-327.790
56	15.046	10.904	-331.184
57	6.139	15.393	-330.436
58	12.061	5.901	-329.455
59	-3.516	6.326	-328.156
60	-18.062	6.445	-331.424
61	13.510	3.616	-329.613
62	2.518	2.928	-327.782
63	-13.714	15.547	-332.094
64	21.228	5.246	-332.624
65	-1.902	21.319	-332.404
66	10.446	-5.140	-328.996
67	7.828	12.941	-329.956
68	3.476	4.034	-327.915
69	9.940	-1.597	-328.649
70	11.073	-16.084	-331.570
71	13.601	-8.268	-330.213
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-11.033	1.775	-328.888
1	22.433	3.946	-333.074
2	-10.961	-12.255	-330.391
3	-11.416	-4.600	-329.159
4	17.993	-6.592	-331.418
5	-10.413	3.519	-328.846
6	3.161	8.007	-328.374
7	-12.470	6.867	-329.686
8	6.032	-6.881	-328.471
9	-14.504	-5.292	-330.056
10	9.204	-8.303	-329.181
11	-7.363	6.221	-328.564
12	19.332	-1.223	-331.505
13	-11.035	-0.741	-328.862
14	-12.864	15.520	-331.840
15	2.201	11.862	-329.099
16	-7.987	7.151	-328.787
17	3.955	-20.559	-332.187
18	5.219	-5.200	-328.175
19	9.378	-4.635	-328.731
20	1.902	-11.066	-328.900
21	1.434	-12.010	-329.106
22	-3.661	-6.024	-328.129
23	-9.561	-8.962	-329.367
24	8.066	3.860	-328.433
25	-5.639	12.140	-329.444
26	13.084	12.524	-331.000
27	15.352	6.760	-330.507
28	-10.620	-7.461	-329.333
29	20.789	-0.889	-332.129
30	7.610	9.429	-329.111
31	3.050	-14.788	-329.948
32	14.932	-4.224	-330.082
33	1.127	-11.285	-328.926
34	10.962	-10.886	-330.060
35	-1.884	-18.368	-331.137
36	1.722	-10.403	-328.749
37	4.330	-4.222	-327.998
38	3.704	7.578	-328.344
39	-10.395	-5.492	-329.024
40	8.926	10.810	-329.622
41	5.867	-8.602	-328.721
42	-7.486	-4.714	-328.416
43	-3.130	20.091	-331.917
44	13.467	-5.685	-329.800
45	14.464	-1.335	-329.772
46	-16.030	2.341	-330.308
47	4.338	13.490	-329.667
48	1.493	-2.210	-327.704
49	8.957	-1.641	-328.463
50	-0.985	-10.849	-328.825
Hit#    X, mm   Y, mm   Z, mm
0     	20.904	-0.372	-332.174
1	3.598	-16.214	-330.449
2	6.894	-17.449	-331.255
3	-9.773	5.269	-328.872
4	-4.590	-16.827	-330.747
5	6.479	11.868	-329.481
6	15.758	2.244	-330.213
7	-11.815	-0.888	-329.046
8	5.242	11.588	-329.265
9	12.987	12.350	-330.927
10	3.606	-10.401	-328.850
11	-17.994	-7.153	-331.501
12	12.841	-6.674	-329.756
13	16.738	12.722	-332.228
14	8.296	-0.294	-328.322
15	-6.164	6.735	-328.467
16	-3.079	13.450	-329.559
17	13.348	-8.760	-330.229
18	-8.074	-19.020	-332.064
19	6.380	2.896	-328.123
20	3.128	-19.154	-331.520
21	-7.113	4.884	-328.377
22	-14.130	1.202	-329.669
23	0.045	15.155	-329.966
24	7.176	18.192	-331.582
25	0.891	14.931	-329.904
26	-2.834	8.538	-328.443
27	13.740	-13.084	-331.341
28	19.132	8.497	-332.187
29	6.810	11.400	-329.414
30	0.227	-15.259	-329.999
31	-20.482	8.656	-332.804
32	-12.746	-4.427	-329.473
33	-2.417	17.795	-330.941
34	3.247	13.952	-329.712
35	20.971	7.825	-332.877
36	-0.263	3.896	-327.785
37	-20.635	0.300	-332.052
38	-17.149	2.056	-330.685
39	10.059	-7.256	-329.183
40	5.738	-1.984	-328.000
41	-1.012	1.460	-327.665
42	6.735	3.523	-328.210
43	11.937	9.337	-329.966
44	3.137	-10.459	-328.830
45	-8.559	-7.762	-328.976
46	-10.013	-6.331	-329.045
47	-6.352	0.588	-328.039
48	6.388	-0.720	-328.045
49	8.482	4.580	-328.564
50	-1.497	0.938	-327.664
51	-8.039	6.549	-328.711
52	7.300	-19.979	-332.342
53	-4.649	-5.614	-328.163
54	15.202	13.177	-331.823
55	-4.344	13.053	-329.547
56	-11.552	-8.970	-329.802
57	3.446	18.301	-331.200
58	16.317	6.872	-330.846
59	-21.869	6.623	-333.111
60	2.685	-8.252	-328.386
61	11.362	2.365	-328.988
62	11.540	-3.871	-329.125
63	17.569	13.313	-332.709
64	-8.065	-10.212	-329.342
65	-0.012	15.019	-329.923
66	9.006	20.248	-332.767
67	-13.993	8.683	-330.400
68	-2.552	3.560	-327.824
69	6.786	-9.644	-329.032
70	9.201	2.105	-328.525
71	-0.969	-2.575	-327.708
72	-2.047	-1.959	-327.713
73	-2.349	2.839	-327.768
74	9.311	-2.286	-328.554
75	20.174	6.292	-332.278
76	-21.672	-5.075	-332.815
77	0.194	-7.507	-328.196
78	1.178	11.237	-328.916
79	3.196	-19.512	-331.673
80	-13.048	1.397	-329.372
81	15.539	11.584	-331.509
82	-1.418	5.358	-327.939
83	-3.980	19.841	-331.874
84	0.819	10.052	-328.653
85	-6.920	2.513	-328.174
86	-13.983	-7.673	-330.224
87	12.167	-15.963	-331.802
88	-12.378	0.551	-329.180
89	-19.446	1.872	-331.574
90	-6.810	-10.938	-329.308
91	-13.757	-17.251	-332.720
92	16.431	2.915	-330.476
93	-4.029	11.227	-329.065
94	3.647	-19.707	-331.789
95	15.971	10.614	-331.424
96	16.540	-12.748	-332.163
97	-6.137	-7.604	-328.590
98	10.848	0.299	-328.816
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-1.566	13.904	-329.614
1	6.882	14.358	-330.214
2	16.775	6.420	-330.942
3	7.033	-1.356	-328.145
4	3.679	-13.383	-329.582
5	0.662	-20.517	-332.003
6	16.161	16.047	-333.072
7	-4.105	-3.434	-327.918
8	3.672	-6.211	-328.153
9	-11.906	-5.574	-329.378
10	1.364	0.049	-327.652
11	-7.273	-9.441	-329.063
12	-10.956	-2.330	-328.894
13	3.268	-3.499	-327.861
14	0.063	-11.419	-328.944
15	-14.823	-4.652	-330.088
16	-6.325	1.928	-328.069
17	8.131	16.004	-330.938
18	-3.604	-19.346	-331.634
19	9.113	-8.131	-329.136
20	-11.131	16.162	-331.611
21	17.628	5.270	-331.111
22	-3.416	9.329	-328.622
23	-1.290	6.316	-328.047
24	-5.443	-16.219	-330.626
25	18.027	3.925	-331.132
26	1.415	-8.504	-328.376
27	0.460	6.795	-328.096
28	1.556	10.042	-328.668
29	-5.543	-17.425	-331.067
30	-8.854	2.067	-328.460
31	13.140	2.136	-329.423
32	-11.165	8.630	-329.649
33	2.593	18.826	-331.354
34	-11.383	-6.459	-329.362
35	-11.728	-0.543	-329.020
36	-15.077	16.604	-332.899
37	15.283	-2.520	-330.073
38	-4.008	-3.329	-327.903
39	1.253	8.460	-328.364
40	7.429	-8.074	-328.842
41	6.389	-7.546	-328.613
42	5.792	-1.348	-327.985
43	-7.270	-11.134	-329.419
44	12.857	7.643	-329.904
45	0.761	11.762	-329.031
46	-0.015	-3.131	-327.731
47	-10.889	9.630	-329.775
48	12.690	-5.207	-329.536
49	10.863	-17.688	-332.106
50	-5.825	0.140	-327.971
51	1.285	-21.267	-332.358
52	-7.564	-9.571	-329.132
53	-14.654	-9.561	-330.768
54	5.994	-11.243	-329.270
55	4.966	1.617	-327.905
56	-14.778	-3.336	-329.964
57	21.234	-0.845	-332.333
58	3.251	-17.560	-330.903
59	-1.801	4.228	-327.843
60	-6.108	9.584	-328.931
61	3.241	4.125	-327.907
62	9.359	-16.361	-331.291
63	-12.305	-8.849	-329.966
64	-18.159	2.545	-331.087
65	-11.237	-0.507	-328.905
66	1.562	-15.705	-330.168
67	12.230	1.743	-329.171
68	16.057	-16.236	-333.103
69	9.352	-15.792	-331.094
70	-7.290	5.390	-328.455
71	-3.402	8.423	-328.459
72	8.836	-11.189	-329.692
73	14.581	16.164	-332.577
74	-7.732	8.993	-329.049
75	6.918	-20.337	-332.440
76	-4.151	-3.057	-327.898
77	-3.465	4.555	-327.959
78	-7.069	-13.388	-329.961
79	-2.220	8.963	-328.486
80	0.475	-3.071	-327.729
81	13.271	8.013	-330.077
82	1.890	18.103	-331.035
83	1.485	22.065	-332.744
84	-1.488	6.063	-328.021
85	-4.940	-5.931	-328.228
86	-5.356	2.389	-327.976
87	-18.062	0.707	-330.986
88	-6.476	-3.097	-328.147
89	-5.252	-13.603	-329.789
90	-6.457	7.871	-328.672
91	-1.674	-1.289	-327.678
92	2.830	-14.510	-329.850
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	-11.144	4.505	-329.088
1	-1.559	-5.883	-328.002
2	6.922	15.807	-330.679
3	9.018	9.419	-329.349
4	-0.538	1.471	-327.658
5	0.113	-11.619	-328.991
6	-3.639	-3.028	-327.856
7	-4.366	-0.053	-327.823
8	4.249	15.030	-330.114
9	1.143	-1.029	-327.657
10	-12.478	-8.188	-329.894
11	-2.432	-19.967	-331.821
12	-8.768	3.774	-328.546
13	-3.994	-14.877	-330.045
14	15.280	-14.658	-332.297
15	-2.256	-5.544	-327.990
16	-12.068	-8.961	-329.927
17	-4.848	-11.829	-329.282
18	7.273	-10.764	-329.336
19	-9.902	2.821	-328.696
20	-2.595	-12.661	-329.319
21	15.313	13.957	-332.078
22	-2.264	-12.391	-329.233
23	-16.828	-3.812	-330.679
24	-21.034	4.822	-332.487
25	21.718	-6.632	-333.039
26	-9.820	-17.585	-331.833
27	-5.884	-6.052	-328.345
28	6.522	18.929	-331.780
29	16.550	8.015	-331.108
30	-4.919	4.029	-328.036
31	-19.624	-3.024	-331.710
32	-6.134	-6.914	-328.488
33	-5.416	1.278	-327.941
34	11.984	-8.014	-329.739
35	10.572	11.318	-330.072
36	-12.630	-3.657	-329.379
37	20.414	2.387	-332.015
38	-15.577	9.290	-331.010
39	6.244	3.367	-328.135
40	7.757	13.956	-330.229
41	-2.898	-6.288	-328.111
42	5.632	15.826	-330.515
43	-19.376	-2.553	-331.577
44	-2.439	3.174	-327.792
45	-4.656	3.519	-327.972
46	-2.473	2.043	-327.735
47	2.560	-7.789	-328.305
48	18.062	5.926	-331.356
49	6.382	6.845	-328.510
50	-14.274	5.651	-330.028
51	-6.763	18.713	-331.727
52	10.170	-6.228	-329.064
53	3.081	7.458	-328.284
54	-6.414	8.251	-328.729
55	16.216	5.498	-330.631
56	9.006	-14.641	-330.655
57	11.376	2.669	-329.007
58	-1.303	-8.861	-328.436
59	-15.015	-9.047	-330.780
60	-13.956	-15.017	-331.991
61	12.539	10.143	-330.283
62	0.266	8.881	-328.423
63	11.038	-1.024	-328.867
64	13.527	-13.089	-331.280
65	-2.409	-0.937	-327.700
66	-7.257	11.843	-329.585
67	-7.803	9.617	-329.179
68	7.824	6.703	-328.698
69	3.075	3.064	-327.821
70	14.111	-5.440	-329.956
71	-4.026	-5.013	-328.045
72	-3.574	14.719	-329.963
73	10.360	15.384	-331.170
74	4.669	12.125	-329.337
75	9.314	10.171	-329.557
76	-9.628	-5.519	-328.870
77	-4.189	-12.996	-329.518
78	6.492	-2.286	-328.105
79	-12.822	13.576	-331.220
80	3.364	1.528	-327.769
81	0.878	12.381	-329.186
82	1.323	9.259	-328.509
83	-3.495	11.194	-329.017
84	17.787	10.100	-331.971
85	-5.133	21.297	-332.643
86	13.063	-13.058	-331.140
87	2.428	14.189	-329.733
88	0.316	-8.156	-328.299
89	0.612	13.460	-329.468
90	-7.523	14.553	-330.370
91	-2.911	10.196	-328.761
92	-4.710	-3.195	-327.956
93	-2.077	0.455	-327.678
94	3.925	20.818	-332.302
95	-1.440	16.162	-330.317
96	18.972	-0.875	-331.349
97	9.375	8.711	-329.285
98	-7.458	14.132	-330.233
99	-1.730	19.662	-331.659
100	-8.091	-3.941	-328.443
101	-7.813	5.788	-328.580
102	-11.866	-6.280	-329.454
103	-1.348	6.455	-328.067
104	-4.658	6.260	-328.241
105	-0.634	13.048	-329.356
106	15.983	-3.089	-330.335
107	6.729	-11.648	-329.462
108	16.825	-3.962	-330.690
109	3.543	-16.547	-330.559
110	3.703	-20.306	-332.054
111	-7.856	-1.876	-328.285
112	-2.316	13.271	-329.467
113	-0.155	-8.383	-328.336
114	12.578	9.765	-330.215
115	6.924	-3.974	-328.270
116	-11.350	1.813	-328.961
117	-0.051	-8.382	-328.335
118	2.363	-1.607	-327.714
119	7.343	15.614	-330.679
120	-5.609	5.491	-328.248
